mask,channels,n_channels,task_id,family,correct,prediction,answer,input_tokens,output_tokens,seconds,num_beams,tool_calls,evidence_chars
,∅,0,math01,mathematics,0,a styrofoam,102,17,12,0.19246182399999157,1,0,0
,∅,0,math02,mathematics,1,144 divided by 12,12,16,7,0.11289719700000944,1,0,0
,∅,0,math03,mathematics,0,35 plus 47,82,14,5,0.08120262600000672,1,0,0
,∅,0,know01,knowledge,0,l'île de l'île,paris,15,11,0.1745593720000045,1,0,0
,∅,0,know02,knowledge,0,saturn,mars,17,6,0.10098232299999665,1,0,0
,∅,0,know03,knowledge,0,helium,carbon dioxide,20,5,0.08486727000000371,1,0,0
,∅,0,reason01,reasoning,1,no,no,42,3,0.06070542999999873,1,0,0
,∅,0,reason02,reasoning,1,yes,yes,34,3,0.05758167900000899,1,0,0
,∅,0,reason03,reasoning,0,no,yes,36,3,0.0583911100000023,1,0,0
,∅,0,tool01,tool-use,0,-29,437,19,5,0.08203692299998977,1,0,0
,∅,0,tool02,tool-use,0,-49,513,16,5,0.08089346900000294,1,0,0
,∅,0,tool03,tool-use,0,81,9,15,4,0.0667598330000061,1,0,0
,∅,0,retr01,retrieval,0,256,7319,18,4,0.06739773399999649,1,0,0
,∅,0,retr02,retrieval,0,san francisco,ranchi,21,8,0.12788898400000903,1,0,0
,∅,0,retr03,retrieval,0,black,violet,19,3,0.06269840000000215,1,0,0
R,R,1,math01,mathematics,0,17 multiplied,102,17,6,0.17085757899999976,4,0,0
R,R,1,math02,mathematics,0,144,12,16,4,0.14161932599999716,4,0,0
R,R,1,math03,mathematics,0,35 plus 47,82,14,5,0.15429213699999877,4,0,0
R,R,1,know01,knowledge,0,france,paris,15,4,0.15119127600000581,4,0,0
R,R,1,know02,knowledge,0,saturn,mars,17,6,0.17268823899999575,4,0,0
R,R,1,know03,knowledge,0,helium,carbon dioxide,20,5,0.14892457499999523,4,0,0
R,R,1,reason01,reasoning,1,no,no,42,3,0.09601428799999212,4,0,0
R,R,1,reason02,reasoning,1,yes,yes,34,3,0.08964881400000024,4,0,0
R,R,1,reason03,reasoning,0,no,yes,36,3,0.09025923299999761,4,0,0
R,R,1,tool01,tool-use,0,0,437,19,4,0.11284052999999972,4,0,0
R,R,1,tool02,tool-use,0,487,513,16,4,0.11074945600000774,4,0,0
R,R,1,tool03,tool-use,0,81,9,15,4,0.11084512499999732,4,0,0
R,R,1,retr01,retrieval,0,256,7319,18,4,0.13967768199999853,4,0,0
R,R,1,retr02,retrieval,0,chicago,ranchi,21,5,0.14155963599999666,4,0,0
R,R,1,retr03,retrieval,0,black,violet,19,3,0.11199726599998883,4,0,0
I,I,1,math01,mathematics,0,a styrofoam,102,17,12,0.19152600700000733,1,0,0
I,I,1,math02,mathematics,1,144 divided by 12,12,16,7,0.11332040599999971,1,0,0
