channels,mask,family,accuracy
A,A,knowledge,0.0
A,A,mathematics,0.0
A,A,reasoning,0.6666666666666666
A,A,retrieval,0.0
A,A,tool-use,0.0
AL,AL,knowledge,0.0
AL,AL,mathematics,0.0
AL,AL,reasoning,1.0
AL,AL,retrieval,0.0
AL,AL,tool-use,0.0
I,I,knowledge,1.0
I,I,mathematics,0.3333333333333333
I,I,reasoning,0.6666666666666666
I,I,retrieval,0.6666666666666666
I,I,tool-use,0.0
IA,AI,knowledge,1.0
IA,AI,mathematics,0.0
IA,AI,reasoning,0.6666666666666666
IA,AI,retrieval,0.6666666666666666
IA,AI,tool-use,0.0
IAL,AIL,knowledge,1.0
IAL,AIL,mathematics,0.0
IAL,AIL,reasoning,1.0
IAL,AIL,retrieval,1.0
IAL,AIL,tool-use,0.0
IL,IL,knowledge,1.0
IL,IL,mathematics,0.0
IL,IL,reasoning,1.0
IL,IL,retrieval,1.0
IL,IL,tool-use,0.0
L,L,knowledge,0.0
L,L,mathematics,0.0
L,L,reasoning,1.0
L,L,retrieval,0.0
L,L,tool-use,0.0
R,R,knowledge,0.0
R,R,mathematics,0.0
R,R,reasoning,0.6666666666666666
R,R,retrieval,0.0
R,R,tool-use,0.0
RA,AR,knowledge,0.0
RA,AR,mathematics,0.0
RA,AR,reasoning,0.6666666666666666
RA,AR,retrieval,0.0
RA,AR,tool-use,0.0
RAL,ALR,knowledge,0.0
RAL,ALR,mathematics,0.0
RAL,ALR,reasoning,1.0
RAL,ALR,retrieval,0.0
RAL,ALR,tool-use,0.0
RI,IR,knowledge,1.0
RI,IR,mathematics,0.0
RI,IR,reasoning,0.6666666666666666
RI,IR,retrieval,1.0
RI,IR,tool-use,0.0
RIA,AIR,knowledge,1.0
RIA,AIR,mathematics,0.0
RIA,AIR,reasoning,0.6666666666666666
RIA,AIR,retrieval,1.0
RIA,AIR,tool-use,0.0
RIAL,AILR,knowledge,1.0
RIAL,AILR,mathematics,0.0
RIAL,AILR,reasoning,1.0
RIAL,AILR,retrieval,1.0
RIAL,AILR,tool-use,0.0
RIL,ILR,knowledge,1.0
RIL,ILR,mathematics,0.0
RIL,ILR,reasoning,1.0
RIL,ILR,retrieval,1.0
RIL,ILR,tool-use,0.0
RL,LR,knowledge,0.0
RL,LR,mathematics,0.0
RL,LR,reasoning,1.0
RL,LR,retrieval,0.0
RL,LR,tool-use,0.0
∅,,knowledge,0.0
∅,,mathematics,0.3333333333333333
∅,,reasoning,0.6666666666666666
∅,,retrieval,0.0
∅,,tool-use,0.0
